facility,level,hub,district,region,dhis2_uid,dhis2_name,DHIS2_UID,HIBRID_UID
Kinyabwamba H/C III,H/C III,Kilembe Mines Hub   ,Kasese,Mid Western,\N,Kinyabwamba HC III,An4WDnoSfY0,MsZyROPmtid
Kinyamaseke H/C III,H/C III,Kagando Hub   ,Kasese,Mid Western,\N,Kinyamaseke HC III,YGIoDeKaKA5,ksOBL4o85My
Kirema H/C III,H/C III,Ngoma Hub   ,Nakaseke,Central 2,kyHAWNZ9EPd,Kirema HC III,kyHAWNZ9EPd,H0eR36zxc0d
Kiruhura H/C IV,H/C IV,Rushere Hub   ,Kiruhura,South Western,GnVqZO2asFJ,Kiruhura HC IV,GnVqZO2asFJ,LQBXT5YqG0c
Kiryandongo Hospital,Hospital,kiryandongo Hub   ,Kiryandongo,Mid Western,kzFJJnKcISy,Kiryandongo Hospital,kzFJJnKcISy,f6HmNgZIWCf
Kisaaru Tea H/C II,H/C II,Hoima Hub   ,Hoima,Mid Western,\N,Kisaaru Tea HC II,ftLh2qoAXsJ,PImjdLeLVI0
Kisiizi Hospital C.O.U (Rukungiri),Hospital,Nyakibale Hub   ,Rukungiri,South Western,J5lFjhtApU5,Kisiizi NGO HOSPITAL,J5lFjhtApU5,IUmQkX5xEp4
Kisomoro H/C III,H/C III,FortPortal Hub  ,Bunyangabu,Mid Western,\N,Kisomoro HC III,efN24flmJeb,GwJRONK6Wwc
Kisoro Hospital,Hospital,Kisoro Hub   ,Kisoro,South Western,FHIEdqBZAll,Kisoro Hospital,FHIEdqBZAll,aoCLY7ye8Jz
Kisubi Hospital,Hospital,Entebbe Hub   ,Wakiso,Central 1,qLLYEE7sCnd,Kisubi Hospital,qLLYEE7sCnd,odJwvgeuOHn
Kiswa H/C IV,H/C IV,Kampala Hub,Kampala,Kampala,cjC5Ij5U7le,Kiswa HC III,cjC5Ij5U7le,Rj82LAxvVqM
Kitagata  Hospital,Hospital,kitagata Hub   ,Sheema,South Western,EMHl20viu7L,Kitagata HOSPITAL,EMHl20viu7L,h4FeRYe2iYr
Kitebi H/C III,H/C III,Kampala Hub,Kampala,Kampala,sLOvwpCrdh2,Kitebi HC III,sLOvwpCrdh2,zE9TkSbwYk7
Kitgum General Hospital,Hospital,Kitgum Hub   ,Kitgum,Mid Northern,z2LfysbyF9U,Kitgum Hospital,z2LfysbyF9U,gPOtCx4mQ3H
Kitgum Matidi H/C III,H/C III,Kitgum Hub   ,Kitgum,Mid Northern,aKgreJPVnve,Kitgum-Matidi HC III,#N/A,QtceSZk9Xxq
Kitimba H/C III,H/C III,Gombe Hub   ,Butambala,Central 1,O4sKsWoxekL,Kitimba HC III,O4sKsWoxekL,ALSGrJqYMDG
Kitondo H/C III,H/C III,Itojo Hub   ,Ntungamo,South Western,\N,Kitondo HC III,U2iprp1G39M,qZo0vL8K58Z
Kitswamba H/C III,H/C III,Kilembe Mines Hub   ,Kasese,Mid Western,\N,Kitswamba HC III,OOJMUm6aMR4,zmHcsYJog8M
Kityerera H/C IV,H/C IV,Kigandalo hub   ,Mayuge,East Central,W65MlPtBlmF,Kityerera HC IV,W65MlPtBlmF,Xa2D2MIjFpF
Kiwangala H/C IV,H/C IV,Lwengo Hub    ,Lwengo,Central 1,oviT3cugAEz,Kiwangala HC IV,oviT3cugAEz,YL6Ttt1KqFB
Kiwoko Hospital ,Hospital,Ngoma Hub   ,Nakaseke,Central 2,\N,Kiwoko Hospital,OtHSbYGRmmu,glnI0xgvrNX
Kiyombya H/C III,H/C III,FortPortal Hub  ,Bunyangabu,Mid Western,\N,Kiyombya HC III,a0Tgsf83fGB,lKbpwbUCM4R
Kiyumba H/C IV,H/C IV,Masaka Hub   ,Masaka,Central 1,AjaGtzC8woM,Kiyumba HC IV,AjaGtzC8woM,pwL2NNO6LE2
Kiyunga H/C IV ( Luuka),H/C IV,Iganga Hub    ,Luuka,East Central,a14sgIjcCoT,Kiyunga HC IV,a14sgIjcCoT,FnGX9XVbmQw
Kobwin H/C III,H/C III,Ngora Hub    ,Ngora,North East,\N,Kobwin HC III,TTWscca1VOu,UXPh9yDBMqz
Koch Goma H/C III,H/C III,Anaka Hub   ,Nwoya,Mid Northern,NdIteLoT2FC,Koch Goma HC III,NdIteLoT2FC,DaiCENI8IoW
Kojja H/C IV,H/C IV,Mukono Hub ,Mukono ,Central 2,akaiT2gUBst,Kojja HC IV,akaiT2gUBst,y2RB1A9mKlH
Kolonyi H/C III,H/C III,Mbale Hub   ,Mbale,Mid Eastern,O4hJJKkCm5r,Kolonyi HC III,O4hJJKkCm5r,qp41TjGdSQO
Kotido H/C IV,H/C IV,Kotido Hub  ,Kotido,North East,ahrb1oS6ucq,Kotido HC IV,ahrb1oS6ucq,bdY9ClUgVL0
Kulikulinga H/C III,H/C III,Yumbe Hub   ,Yumbe,West Nile,jiKuvEHVanR,Kulikulinga HC III,jiKuvEHVanR,NBRJfGPJmyr
Kuluva Hospital,Hospital,Arua Hub   ,Arua,West Nile,\N,Kuluva Hospital,avzSINkwOx8,wo1ftUMR2L8
Kumi H/C IV,H/C IV,Atutur Hub  ,Kumi,North East,T7PV25xOz2Z,Kumi HC IV,T7PV25xOz2Z,G9upTUa8dsd
Kwera H/C III,H/C III,Dokolo Hub  ,Dokolo,Mid Northern,fxZxvguCeIw,Kwera HC III,fxZxvguCeIw,LfetW7lXr9v
Kyabenda H/C III,H/C III,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Kyabenda HC III,qMBXDpWSarC,XSaamZRfIfw
Kyabugimbi H/C IV ,H/C IV,Bushenyi Hub   ,Bushenyi,South Western,\N,Kyabugimbi HC IV,ILr03pFmrva,OZA3J2pES3q
Kyangwali H/C IV,H/C IV,Hoima Hub   ,Hoima,Mid Western,\N,Kyangwali HC IV,gQKXvT7RNVU,Mu3giYOjoaF
Kyangyenyi H/C III,H/C III,kitagata Hub   ,Sheema,South Western,\N,Kyangyenyi HC III,XjGXLRYHwRx,Cr6j7UZBGP4
Kyarusozi H/C IV ,H/C IV,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Kyarusozi HC IV,LLjCLRuuOpp,LPYK1qsSqif
Kyazanga H/C IV,H/C IV,Lwengo Hub    ,Lwengo,Central 1,VhOO7DL9Y39,Kyazanga HC IV,VhOO7DL9Y39,DzseBffV6P0
Kyebe H/C III,H/C III,Rakai Hub   ,Kyotera,Central 1,xP2J8wszUrR,Kyebe HC III,xP2J8wszUrR,ICg2lqL5VYA
Kyegegwa H/C IV,H/C IV,Kyegegwa Hub   ,Kyegegwa,Mid Western,\N,Kyegegwa HC IV,xLXQrhFHr7A,i5e9CHUZnaT
Kyehoro H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,pa2KemeFZTD,Kyehoro HC II,pa2KemeFZTD,ZZgNM8hzpkd
Kyere H/C III,H/C III,Serere Hub   ,Serere,North East,\N,Kyere HC III,zm7m09FNPYA,yjUXdLTv4bc
Labworomor H/C III,H/C III,Gulu Hub   ,Gulu,Mid Northern,ltWFhjfI6qF,Labworomor HC III,ltWFhjfI6qF,SKH0tXHndtU
Laguti H/C III,H/C III,Pajule Hub     ,Pader,Mid Northern,ynatvEoBz7A,Laguti HC III,ynatvEoBz7A,BUQ5twTlVou
Lalogi  H/C IV ,H/C IV,Lalogi Hub    ,Omoro,Mid Northern,\N,Lalogi HC IV,Dxbu2QPZahI,XD1K6LmKJDf
Lapainat H/C III,H/C III,Lalogi Hub    ,Omoro,Mid Northern,\N,Lapainat HC III,EsXcenXz99W,BOyZH2z59bG
Laroo H/C III,H/C III,Gulu Hub   ,Gulu,Mid Northern,elqHQKpMveQ,Laroo HC III,elqHQKpMveQ,LYQgZjl10n4
Layibi Techo H/C III,H/C III,Gulu Hub   ,Gulu,Mid Northern,n8DIemz1Xoh,Layibi Techo HC III,n8DIemz1Xoh,Wu07v4lJlxq
Lira Palwo H/C III,H/C III,Kalongo Hub   ,Agago,Mid Northern,aNM5X9P50rl,Lira-Palwo HC III,aNM5X9P50rl,q2qhqUlj1Oo
Lira R R Hospital,Hospital,Lira Hub   ,Lira,Mid Northern,cK5namCwmbW,Lira REGIONAL REF HOSPITAL,cK5namCwmbW,nhc9EBWg1uT
Lobule H/C III,H/C III,Koboko Hub   ,Koboko,West Nile,\N,Lobule HC III,cacYqraIAeB,wJT4G7eK5wZ
Lokung H/C III,H/C III,Madi Opei Hub   ,Lamwo,Mid Northern,MV2QkTgUIz1,Lokung HC III,MV2QkTgUIz1,DbpADeyNajA
Lorengedwat H/C III,H/C III,Tokora Hub    ,Nakapiripirit,North East,\N,Lorengedwat HC III,EYaoFJ7u4nr,bAHHPUXPP3X
Lukole H/C III,H/C III,Kalongo Hub   ,Agago,Mid Northern,RHk4V3ZlFbx,Lukole HC III,RHk4V3ZlFbx,Dmx9BT7okDB
Lumino H/C III,H/C III,Masafu Hub   ,Busia,Mid Eastern,\N,Lumino HC III,eheRSS5qlxR,LQVJSFAE9Ye
Luwunga H/C III(1st Div Hospital),H/C III,Wakiso Hub  ,Wakiso,Central 1,LKxm4CmrYYh,Luwunga Barracks HC IV,LKxm4CmrYYh,xKt0rLpwdWK
Lwala Hospital ,Hospital,Kaberamaido Hub   ,Kaberamaido,North East,\N,Lwala Hospital,UdkpzjDtHXu,wFOrXVAQnav
Lwamaggwa H/C III,H/C III,Rakai Hub   ,Rakai,Central 1,oBg69iZLKtq,Lwamaggwa Gvt HC III,oBg69iZLKtq,PoRA0b2CYgt
Lwangoli H/C III,H/C III,Mbale Hub   ,Mbale,Mid Eastern,\N,Lwangoli HC III,hC1gtogaFM0,yfCyZ4gVNJq
Lwankoni H/C III,H/C III,Rakai Hub   ,Rakai,Central 1,FuOuXP2WFU8,Lwankoni HC III,FuOuXP2WFU8,zVe7pFvA1LS
Lwebitakuli H/C III,H/C III,Ssembabule Hub   ,Ssembabule,Central 1,T7UcwZlbp1F,Lwebitakuli Gvt HC III,T7UcwZlbp1F,Ppb0NfZrHtO
Lwemiyaga H/C III,H/C III,Ssembabule Hub   ,Ssembabule,Central 1,ioBktjTQgyS,Lwemiyaga HC III,ioBktjTQgyS,EcuiExrUSZH
Lwengo H/C IV,H/C IV,Lwengo Hub    ,Lwengo,Central 1,oFI3thMRN4h,Lwengo HC IV,oFI3thMRN4h,zsRV9XzdLLZ
Lyantonde Hospital ,Hospital,Lyantonde Hub   ,Lyantonde,Central 1,\N,Lyantonde Hospital,Gje6ykVPZKQ,vLvmE2R6QDf
Mabona H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,\N,Mabona HC III,akpD9KoxPcB,DpNJmp7Vfna
Maddu H/C IV,H/C IV,Maddu Hub    ,Gomba,Central 1,r7ugOoXi8F1,Maddu HC IV,r7ugOoXi8F1,MclcZqXCQGP
St Elizabeth H/C IV-Magale,H/C IV,Tororo Hub   ,Namisindwa,Mid Eastern,adoijg0nE4u,Magale HC IV,adoijg0nE4u,jP2kg0yH0o9
Makonge H/C III,H/C III,Kawolo Hub   ,Buikwe ,Central 2,BIiLhy7eYLl,Makonge HC III,BIiLhy7eYLl,Grv7UHrW5s5
Makukuulu H/C III,H/C III,Ssembabule Hub   ,Bukomansimbi,Central 1,GUlztXJ4MRg,Makuukulu HC III,GUlztXJ4MRg,VuQFWycTt7v
Malaba H/C III (Tororo),H/C III,Tororo Hub   ,Tororo,Mid Eastern,F1z2KNSzz86,Malaba HC III,F1z2KNSzz86,ueG0TEl2mCe
Malera H/C III,H/C III,Atutur Hub  ,Bukedea,North East,\N,Malera HC III,EdfrvsY7Giu,afifSdunqwZ
Malongo H/C III,H/C III,Kigandalo hub   ,Mayuge,East Central,ao6V9sOp2DA,Malongo HC III,ao6V9sOp2DA,URgyUMQmrME
Masaka R R Hospital,Hospital,Masaka Hub   ,Masaka,Central 1,vX6kcAwvaS0,Masaka REGIONAL REF HOSPITAL,vX6kcAwvaS0,BzzfPIPZDYg
Masindi Hospital,Hospital,Masindi Hub   ,Masindi ,Mid Western,esxeUWbV3si,Masindi Hospital,esxeUWbV3si,wT7BFXvykBy
Matany Hospital,Hospital,Matany Hub   ,Napak,North East,\N,Matany Hospital,rAvayhLZRhY,eu3CqBrElXC
Mateete H/C III ,H/C III,Ssembabule Hub   ,Ssembabule,Central 1,\N,Mateete HC III,ajiOvkBSZBh,JyZ62bmQI7B
Matuma H/C III,H/C III,Yumbe Hub   ,Yumbe,West Nile,\N,Matuma HC III,MkD1c6jagfl,ElhbqeP5goO
Mayuge H/C III (Mayuge),H/C III,Kigandalo hub   ,Mayuge,East Central,qkq6TBG0tnA,Mayuge HC III,qkq6TBG0tnA,UyErIzJmfm7
Maziba H/C IV,H/C IV,Kabale Hub   ,Kabale,South Western,KlGGom62gxM,Maziba Gvt HC IV,KlGGom62gxM,uyZOLsX4Grc
Mbaare H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,aJlqk5guS44,Mbaare HC III,aJlqk5guS44,Nqu5Tlp0lgU
Mbale H/C II (Kyenjojo),H/C II,Kyenjojo Hub   ,Kyenjojo,Mid Western,Dakg2qxUXlR,Mbale HC II,Dakg2qxUXlR,WcxVa8ctu04
Mbale R R Hospital,Regional Referral Hospital,Mbale Hub   ,Mbale,Mid Eastern,HpJYuf9iyz2,Mbale REGIONAL REF HOSPITAL,HpJYuf9iyz2,CkepVG6MiGe
Midigo H/C IV,H/C IV,Yumbe Hub   ,Yumbe,West Nile,\N,Midigo HC IV,H8IwuI5HbgB,hy7wJ58oqnn
Mitooma H/C IV,H/C IV,kitagata Hub   ,Mitooma,South Western,VNnrhdnpSHA,Mitooma HC IV,VNnrhdnpSHA,fxfhAESY4tF
Mityana Hospital,Hospital,Mityana Hub   ,Mityana,Central 2,TjEiAVNTIFy,Mityana Hospital,TjEiAVNTIFy,VfZZKWy7mGF
Rubaya H/C III (Mbarara),H/C III,Mbarara Hub   ,Mbarara,South Western,nx0UdNxBNIS,Rubaya HC III,nx0UdNxBNIS,U57oxicSATL
Moroto R R Hospital,Regional Referral Hospital,Moroto Hub  ,Moroto,North East,cK0jOJzBIvd,Moroto Regional Refferal HOSPITAL,cK0jOJzBIvd,k9pAewEVcyJ
Morulem H/C III,H/C III,Abim Hub     ,Abim,North East,\N,Morulem HC III,hIuSd1NGumG,gNnT5PJ5Fdf
Moyo Hospital,Hospital,Moyo Hub   ,Moyo,West Nile,\N,Moyo Hospital,HWKAq88M3aX,PNjKsTczEPT
Mpara H/C III,H/C III,Kyegegwa Hub   ,Kyegegwa,Mid Western,\N,Mpara HC III,wisJV65CjPt,eivuJpP1gKc
Mparangasi H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,vHdz34TAaT3,Mparangasi HC III,vHdz34TAaT3,afkdKdrbS6m
Mparo H/C IV,H/C IV,Kabale Hub   ,Rukiga,South Western,eJzlHnYHBcW,Mparo HC IV,eJzlHnYHBcW,o47B6fKomck
Mpumudde H/C IV (Jinja),H/C IV,Jinja Hub   ,Jinja,East Central,pAsdJsJETch,Mpumudde HC IV,pAsdJsJETch,oMM90WNwIiP
Mucwini H/C III,H/C III,Kitgum Hub   ,Kitgum,Mid Northern,qKGMj34R5qZ,Mucwini HC III,qKGMj34R5qZ,t8DNAXEOgXK
Muduuma H/C III,H/C III,Mpigi Hub    ,Mpigi,Central 1,\N,Muduuma HC III,YxeL7JN6HKe,knzkl3C6xM9
Mugusu H/C III,H/C III,FortPortal Hub  ,Kabarole,Mid Western,\N,Mugusu HC III,Y3QzK6JqIXg,vajzreeWEu9
Muhokya H/C III,H/C III,Kilembe Mines Hub   ,Kasese,Mid Western,KuCGJjeYQS4,Muhokya HC III,KuCGJjeYQS4,RvQMQGAqGON
Muhwiju H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,\N,Muhwiju HC III,omv0xbPKq9w,wW0fChSiqA3
Mukathi H/C III,H/C III,Kilembe Mines Hub   ,Kasese,Mid Western,\N,Mukathi HC III,lGAhRBCmDzT,CvAWuz5EF87
Muko H/C IV ,H/C IV,Kabale Hub   ,Rubanda,South Western,\N,Muko HC IV,YTxnLBZCFwA,gxPjdEMf0U8
Mukuju H/C IV,H/C IV,Tororo Hub   ,Tororo,Mid Eastern,Txul6e5mI5M,Mukuju HC IV,Txul6e5mI5M,uvLL4NSKlUt
Mukura H/C III,H/C III,Ngora Hub    ,Ngora,North East,\N,Mukura HC III,c50gQsWftA9,YBQmw1DA3JA
Mulanda H/C IV,H/C IV,Tororo Hub   ,Tororo,Mid Eastern,ae5vXlawbYh,Mulanda HC IV,ae5vXlawbYh,EbvgB6KVEmV
Musyenene H/C III,H/C III,Kagando Hub   ,Kasese,Mid Western,\N,Musyenene HC III,X3ZIaE3ccDb,zWZCIKNlF2a
St Francis Hospital (Mutolere),Hospital,Kisoro Hub   ,Kisoro,South Western,O9Bfy1Rf33x,Mutolere (St. Francis) HOSPITAL,O9Bfy1Rf33x,Xb6l2mBNysA
Muyembe  H/C IV,H/C IV,Kapchorwa Hub   ,Bulambuli,Mid Eastern,\N,Muyembe HC IV,G4DUWj0Q8hp,kpjaWUS0mce
Mwera H/C IV,H/C IV,Mityana Hub   ,Mityana,Central 2,SjGnJhWF7P7,Mwera HC IV,SjGnJhWF7P7,DmfXqw09uOG
Nabiganda H/C III,H/C III,Busolwe Hub   ,Butaleja,Mid Eastern,\N,Nabiganda HC III,cwGt2cWV5TN,HaF9StqrX7P
Nabigasa H/C III,H/C III,Rakai Hub   ,Kyotera,Central 1,nEUuDrY5MWp,Nabigasa HC III,nEUuDrY5MWp,E9syUzXwoha
Nabilatuk H/C IV,H/C IV,Tokora Hub    ,Nakapiripirit,North East,\N,Nabilatuk HC IV,atZjFwq6HQ5,AbdWMMbROfO
Nakapiripirit H/C III,H/C III,Tokora Hub    ,Nakapiripirit,North East,\N,Nakapiripirit HC III,b4ei3WhTRAH,oZpUyc8VsL6
Nakaseke  Hospital ,Hospital,Ngoma Hub   ,Nakaseke,Central 2,\N,Nakaseke Hospital,mlPC71DkTp5,vZWlnSdKRKN
Nakasongola Military Hospital ,Hospital,Nakasongola Hub   ,Nakasongola,Central 2,\N,Nakasongola Military Hospital,Jn7Sz79BL2v,fFNfc5rPWlp
Nakivale H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,lvbkNrwAFmE,Nakivale HC III,lvbkNrwAFmE,f5IeGljs00U
Namakwekwe H/C III,H/C III,Mbale Hub   ,Mbale,Mid Eastern,XJnDlwQcKju,Namakwekwe HC III,XJnDlwQcKju,odD0oduzQrd
Namalu H/C III,H/C III,Tokora Hub    ,Nakapiripirit,North East,\N,Namalu HC III,UCe1oCdRuEA,s4H45QnudFQ
Namanyonyi H/C III,H/C III,Mbale Hub   ,Mbale,Mid Eastern,XPlqjxDtXXO,Namanyonyi HC III,XPlqjxDtXXO,KiErMasUmt8
Namasale H/C III,H/C III,Amolatar Hub   ,Amolatar,Mid Northern,QhhZ8aHXOWM,Namasale HC III,QhhZ8aHXOWM,EQK77iBg87P
Namawanga H/C III,H/C III,Mbale Hub   ,Mbale,Mid Eastern,H21894K9xDD,Namawanga HC III,H21894K9xDD,oqe2phfqfNJ
Namayumba H/C IV,H/C IV,Wakiso Hub  ,Wakiso,Central 1,m2ROGumujet,Namayumba HC IV,m2ROGumujet,CP7YC3YB9XF
Nambale H/C III,H/C III,Iganga Hub    ,Iganga,East Central,tJVNDcI33wJ,Nambale HC III,tJVNDcI33wJ,Rzwf6dOZCxC
Nambieso H/C III,H/C III,Apac Hub    ,Kwania,Mid Northern,ZgwhRJCKYcN,Nambieso HC III,ZgwhRJCKYcN,X9yNB8CiMLP
Namokora H/C IV,H/C IV,Kitgum Hub   ,Kitgum,Mid Northern,iqr4dCf6xsU,Naam Okora HC IV,#N/A,oBkN508gkbh
Namugongo H/C III (kaliro),H/C III,Bumanya Hub   ,Kaliro,East Central,aNs3syyPTb1,Namugongo HC III,aNs3syyPTb1,ynSjtlnXaC0
Namungalwe H/C III,H/C III,Iganga Hub    ,Iganga,East Central,a8Qm23qwGwy,Namungalwe HC III,a8Qm23qwGwy,PnsZHulylBc
Namutumba H/C  III (Namutumba),H/C III,Bumanya Hub   ,Namutumba ,East Central,aeZGyZJvaEG,Namutumba HC III,aeZGyZJvaEG,qrhuotaYmwA
Namwendwa H/C IV,H/C IV,Kamuli Hub   ,Kamuli,East Central,zyI8GDUVYdE,Namwendwa HC IV,zyI8GDUVYdE,FvB3xHLLUbl
Nankandulo H/C IV,H/C IV,Kamuli Hub   ,Kamuli,East Central,uPAnapLaFYh,Nankandulo HC IV,uPAnapLaFYh,IuXlKDYcBO3
Nankoma H/C IV,H/C IV,Bugiri Hub   ,Bugiri,East Central,ygGN15RPkJR,Nankoma HC IV,ygGN15RPkJR,KoFrMwwPwgl
Nawaikoke H/C III,H/C III,Bumanya Hub   ,Kaliro,East Central,W8gbvIzhIuL,Nawaikoke HC III,W8gbvIzhIuL,OXdBxEOBi9C
Nebbi Hospital ,Hospital,Nebbi Hub   ,Nebbi,West Nile,\N,Nebbi Hospital,iEdI13kUo0h,L4cP4qQpE7K
Ngai H/C III,H/C III,Aber Hub    ,Oyam,Mid Northern,cyWgf6Xmo8Z,Ngai HC III,cyWgf6Xmo8Z,FkerwVIBor9
Ngando H/C III,H/C III,Gombe Hub   ,Butambala,Central 1,lH80zq7z1Hg,Ngando HC III,lH80zq7z1Hg,Qmf2rhLD7Uy
Ngarama H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,\N,Ngarama HC III,UUp7kJLuyG6,HfUtm1uXpAL
Ngetta H/C III,H/C III,Lira Hub   ,Lira,Mid Northern,OjPZpAx86iC,Ngetta HC III,OjPZpAx86iC,RqtJTE5N3CU
Ngurwe H/C II,H/C II,Hoima Hub   ,Hoima,Mid Western,\N,Ngurwe HC II,rqXX3nVIgQd,V6vZQoJIlm6
Nkokonjeru Hospital (Buikwe),Hospital,Kawolo Hub   ,Buikwe ,Central 2,aFxXtxwMU7f,Nkokonjeru HOSPITAL,aFxXtxwMU7f,AxvSjiszOYC
Nkozi Hospital ,Hospital,Mpigi Hub    ,Mpigi,Central 1,\N,Nkozi Hospital,vkpREtlXQxQ,JVkmTrOGbXW
Nshungyezi H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,RFWwEWMyoSD,Nshungyezi HC III,RFWwEWMyoSD,I78wvAL9NVh
Nsiika H/C IV,H/C IV,Bushenyi Hub   ,Buhweju,South Western,oFMf9UXgoOr,Nsiika HC IV,oFMf9UXgoOr,GJB9gAYjLgb
Nsinze H/C IV ,H/C IV,Bumanya Hub   ,Namutumba ,East Central,\N,Nsinze HC IV,aOt4qHwBUAV,wKcEC0DzOPm
Ntara H/C IV,H/C IV,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Ntara HC IV,w73evLideQA,l5z3t9u2BlP
Ntungamo H/C IV,H/C IV,Itojo Hub   ,Ntungamo,South Western,\N,Ntungamo HC IV,NImJbGuvUS6,K7mwrIGSLvA
Ntuusi H/C IV,H/C IV,Ssembabule Hub   ,Ssembabule,Central 1,\N,Ntuusi HC IV,WuDi4LmzEWV,LA92uNF8332
Ntwetwe H/C IV ,H/C IV,Ntwetwe Hub    ,Kyankwanzi,Central 2,\N,Ntwetwe HC IV,QDSGcekPM4S,rfLExMTg5qm
Nyabbani H/C III,H/C III,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Nyabbani HC III,aVLWD9zrowf,FGDO9vH9Gra
Nyabirongo H/C III,H/C III,Kagando Hub   ,Kasese,Mid Western,fIF70rtNGDv,Nyabirongo HC III,fIF70rtNGDv,cmGnwsieSvo
Nyabugando H/C III,H/C III,Kagando Hub   ,Kasese,Mid Western,JbyNRdK814R,Nyabugando HC III,JbyNRdK814R,iV2nUzKelNH
Nyahuka H/C IV,H/C IV,Bundibugyo Hub   ,Bundibugyo,Mid Western,\N,Nyahuka HC IV,Wtx8GzEga6v,y9IddfpBreS
Nyakarongo  H/C   II,H/C II,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Nyakarongo HC II,aU6065dnndu,MxzMcZuK8KT
Nyakibale Hospital,Hospital,Nyakibale Hub   ,Rukungiri,South Western,N57ydf9ABlg,St. Karolii Lwanga Nyakibale HOSPITAL,N57ydf9ABlg,CdfNsYSZo86
Nyakitunda H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,iIx3m63SxVt,Nyakitunda HC III,iIx3m63SxVt,iOfVR3EXYJz
Nyakwae H/C III,H/C III,Abim Hub     ,Abim,North East,\N,Nyakwae HC III,aZEsILFiYCF,ntEEnY3jKLw
Nyamabuga H/C III,H/C III,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Nyamabuga HC III,F2JcZqU3iQD,ItcI6Agk8O9
Nyamarebe H/C III,H/C III,Ruhoko Hub   ,Ibanda,South Western,\N,Nyamarebe HC III,xzB84Cpdcuk,Mde2nAMZ85N
Nyamuyanja H/C IV,H/C IV,Rwekubo Hub   ,Isingiro,South Western,axKfX1OmCTn,Nyamuyanja HC IV,axKfX1OmCTn,VLNS7fcGLKp
Nyankwanzi H/C III,H/C III,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Nyankwanzi HC III,OXa6YSwJxEd,AP3IxqxSQ0c
Nyarubungo H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,dZKfMZLWA5D,Nyarubungo HC III,dZKfMZLWA5D,YHzXqvuv4el
Nyenga Hospital,Hospital,Kawolo Hub   ,Buikwe ,Central 2,Mlh3jcaJw9n,St. Francis Nyenga HOSPITAL,Mlh3jcaJw9n,MTTR1njEAqr
Nyero H/C III,H/C III,Atutur Hub  ,Kumi,North East,\N,Nyero HC III,ehjI0b4szUT,Xa5epJYlGix
Nyimbwa H/C IV,H/C IV,Luweero Hub    ,Luweero,Central 2,\N,Nyimbwa HC IV,aKyrbNsmNnT,ViBjmUeB1Ur
Ochero H/C III,H/C III,Kaberamaido Hub   ,Kaberamaido,North East,\N,Ochero HC III,rPMkkecqjqx,OYKfVVU428l
Odek H/C III,H/C III,Lalogi Hub    ,Omoro,Mid Northern,\N,Odek HC III,RyuiNh0Ldqs,wxV5yVdBkFf
Ogur H/C IV,H/C IV,Lira Hub   ,Lira,Mid Northern,aRxadClWcFM,Ogur HC IV,aRxadClWcFM,RasjvPAtwBV
Okwongo H/C III,H/C III,Alebtong Hub    ,Otuke,Mid Northern,aqHWU5eZqU1,Okwongo HC III,aqHWU5eZqU1,FOBzVPBWM3H
Olilim H/C III,H/C III,Alebtong Hub    ,Otuke,Mid Northern,G0lOXzOa53Q,Olilim HC III,G0lOXzOa53Q,DngtoB1KRal
Omiya Anyima H/C III,H/C III,Kitgum Hub   ,Kitgum,Mid Northern,MObVMkBVjki,Omiya Anyima HC III,MObVMkBVjki,EYXesu95len
Omugo H/C IV,H/C IV,Arua Hub   ,Arua,West Nile,\N,Omugo HC IV,ehmgxZaocae,w2uBXgDO5Ob
Ongako H/C III,H/C III,Lalogi Hub    ,Omoro,Mid Northern,du8F23WZLMw,Ongako HC III,du8F23WZLMw,nPBB48q1hVq
Ongica H/C III,H/C III,Lira Hub   ,Lira,Mid Northern,aD1S6DBzHJV,Ongica HC III,aD1S6DBzHJV,Pe1scDMFBhF
Ongino H/C III,H/C III,Atutur Hub  ,Kumi,North East,\N,Ongino HC III,aUnXgTzSLvC,kBwpbmfFLGh
Orom H/C III,H/C III,Kitgum Hub   ,Kitgum,Mid Northern,auzlyXb92mq,Orom HC III,auzlyXb92mq,yPKRjpjntcn
Orum H/C IV,H/C IV,Alebtong Hub    ,Otuke,Mid Northern,FtmVm4r1H3a,Orum HC IV,FtmVm4r1H3a,jnKRdLIJ9ys
