facility,level,hub,district,region,dhis2_uid,dhis2_name,DHIS2_UID,HIBRID_UID
Muzinda Katereke H/C II,H/C II,Wakiso Hub  ,Wakiso,Central 1,\N,Muzinda Katereke HC II,n8EFMWQJYip,vui2a4nlUtC
Kansambya H/C II,H/C II,Mubende Hub    ,Mubende,Central 2,\N,Kansambya HC II,dM6qCDmZMFO,RlxKeqdvqRH
Kagoggo H/C II,H/C II,Ssembabule Hub   ,Bukomansimbi,Central 1,\N,Kagoggo HC II,hkoHNZAApbg,ycjpVeLJtiE
Kyengando H/C II,H/C II,Rushere Hub   ,Kiruhura,South Western,\N,Kyengando HC II,gqt1SeJ4Lir,shPFzEpS65e
Kikamba H/C II,H/C II,Bushenyi Hub   ,Buhweju,South Western,\N,Kikamba HC II,LhE35B3jIFx,aqgprG5JKPo
Ngeribalya H/C II,H/C II,Maddu Hub    ,Gomba,Central 1,\N,Ngeribalya HC II,o1LaetcCY7S,tgMoS4Iy8b4
Aoet H/C III,H/C III,Jinja Hub   ,Jinja,East Central,YUaxNtqNWFW,AOET HC II,YUaxNtqNWFW,Roiiawq7vhz
Pagirinya H/C III,H/C III,Adjumani Hub   ,Adjumani,West Nile,\N,Pagirinya HC III,hmL6fXhBwaS,W4oACtKqIE7
Ariba H/C II,H/C II,Aber Hub    ,Oyam,Mid Northern,LLYB1JRn1UL,Ariba HC II,LLYB1JRn1UL,lHXsWSBXj4O
Ayiri H/C III,H/C III,Adjumani Hub   ,Adjumani,West Nile,\N,Ayiri HC III,x1hIfQqbZdF,j7dmKMhLYRW
Lukwir H/C II,H/C II,Lalogi Hub    ,Omoro,Mid Northern,Uu40YoS0Mvr,Lukwir HC II,#N/A,AioWB8smd04
STD/MARPI Clinic-Mulago,Special Clinic,Kampala Hub,Kampala,Kampala,U6DZjzffCuQ,Mulago National Hospital- MARPI STI Proj,#N/A,Mee1XbaDaBf
Kyabakara H/C II,H/C II,Rugazi Hub   ,Rubirizi,South Western,,Kyabakara HC II,m3i5NXppqJi,qi0FqHxzn3K
Rwagimba H/C III,H/C III,FortPortal Hub  ,Bunyangabu,Mid Western,EBCRwGo5bqm,Rwagimba HC III,EBCRwGo5bqm,JL87HoS976z
Bukurungu H/C II,H/C II,Rukunyu Hub    ,Kamwenge,Mid Western,PgnmZSSRbeL,Bukurungu HC II,#N/A,Cm6fMDMliCq
The Surgery,Special Clinic,Kampala Hub,Kampala,Kampala,r7gaWycU27e,The Surgery CLINIC,#N/A,XUeWELhiXXV
Abedober H/C III,H/C III,Apac Hub    ,Kwania,Mid Northern,YhPJwSvxDcC,Abedober HC III,YhPJwSvxDcC,dHrKOpJjdh7
Wansalangi H/C II,H/C II,Ngoma Hub   ,Nakaseke,Central 2,\N,Wansalangi HC II,abhWtHxtxlG,cRUSxh9FiNs
Arapai H/C II,H/C II,Soroti Hub   ,Soroti,North East,\N,Arapai HC II,aUpdwfofY85,qZSfllpD9Qa
MJAP-MUH,Hospital,Kampala Hub,Kampala,Kampala,Y3K5vv9cdJ7,Makerere University HC III,Y3K5vv9cdJ7,D1mX6OJruwT
Kali  H/C II,H/C II,Moyo Hub   ,Moyo,West Nile,\N,Kali HC II,FDGxZvsSQrY,uu7gRLKYPZR
Kasonga H/C II,H/C II,Hoima Hub   ,Hoima,Mid Western,\N,Kasonga HC II,TROMT6DVKEl,MZ3Q92hbT8f
Benedict Medical Center,Medical Centre,Kampala Hub,Kampala,Kampala,QUd8daomu0P,Benedict Medical Centre HC IV,QUd8daomu0P,ApopPKXGCvg
Malere H/C II,H/C II,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Malere HC II,wP6qm4MtWn2,l4Zc5RH6Lte
Busoga H/C II,H/C II,Bugiri Hub   ,Bugiri,East Central,\N,Busoga HC II,K3VuoMDqbif,nopdLCSj49w
Bumasikye H/C III,H/C III,Mbale Hub   ,Mbale,Mid Eastern,\N,Bumasikye HC III,R90HHFvhh7u,xXmvRCQSWyk
